TagID,min,max,mean,Area_sqkm
EKF_01,0,157.9752857,8.454511179,1444.495087
EKM_01,,,,0
EKM_02,0,274.8555781,12.18691854,1373.511693
EKM_03,0,294.4563962,13.76506455,6813.088187
EKM_06,,,,0
WKF_16,0,493.8756192,23.30898996,3552.492297
WKF_18,0,413.5755547,23.82137484,2571.384179
WKM_10,0,439.4916214,21.49231364,5793.100502
WOM_01,,,,0
